,Country,measurement,units,Year
634,Zambia,waste_collection_coverage_total_percent_of_households,Percent of population,2005
635,Zambia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2005
636,Suriname,waste_collection_coverage_total_percent_of_waste,Percent of waste,2009
637,Suriname,waste_collection_coverage_total_percent_of_population,Percent of waste,2009
638,Suriname,waste_collection_coverage_total_percent_of_households,Percent of waste,2009
639,Suriname,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2009
640,Palau,waste_collection_coverage_total_percent_of_waste,Percent of population,2016
641,Palau,waste_collection_coverage_total_percent_of_population,Percent of population,2016
642,Palau,waste_collection_coverage_total_percent_of_households,Percent of population,2016
643,Palau,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2016
644,Solomon Islands,waste_collection_coverage_total_percent_of_waste,Percent of population,2016
645,Solomon Islands,waste_collection_coverage_total_percent_of_population,Percent of population,2016
646,Solomon Islands,waste_collection_coverage_total_percent_of_households,Percent of population,2016
647,Solomon Islands,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2016
648,Denmark,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
649,Denmark,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
650,Denmark,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
651,Denmark,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
652,Ethiopia,waste_collection_coverage_total_percent_of_waste,Percent of waste,2017
653,Ethiopia,waste_collection_coverage_total_percent_of_population,Percent of waste,2017
654,Ethiopia,waste_collection_coverage_total_percent_of_households,Percent of waste,2017
655,Ethiopia,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2017
656,China,waste_collection_coverage_total_percent_of_waste,Percent of population,2015
657,China,waste_collection_coverage_total_percent_of_population,Percent of population,2015
658,China,waste_collection_coverage_total_percent_of_households,Percent of population,2015
659,China,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2015
660,Estonia,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
661,Estonia,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
662,Estonia,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
663,Estonia,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
664,Papua New Guinea,waste_collection_coverage_total_percent_of_waste,Percent of waste,2014
665,Papua New Guinea,waste_collection_coverage_total_percent_of_population,Percent of waste,2014
666,Papua New Guinea,waste_collection_coverage_total_percent_of_households,Percent of waste,2014
667,Papua New Guinea,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2014
668,Belize,waste_collection_coverage_total_percent_of_waste,Percent of population,2010
669,Belize,waste_collection_coverage_total_percent_of_population,Percent of population,2010
670,Belize,waste_collection_coverage_total_percent_of_households,Percent of population,2010
671,Belize,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2010
672,Costa Rica,waste_collection_coverage_total_percent_of_waste,Percent of population,2010
673,Costa Rica,waste_collection_coverage_total_percent_of_population,Percent of population,2010
674,Costa Rica,waste_collection_coverage_total_percent_of_households,Percent of population,2010
675,Costa Rica,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2010
676,"Macedonia, FYR",waste_collection_coverage_total_percent_of_waste,Percent of population,2012
677,"Macedonia, FYR",waste_collection_coverage_total_percent_of_population,Percent of population,2012
678,"Macedonia, FYR",waste_collection_coverage_total_percent_of_households,Percent of population,2012
679,"Macedonia, FYR",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
680,Nepal,waste_collection_coverage_total_percent_of_waste,Percent of waste,2013
681,Nepal,waste_collection_coverage_total_percent_of_population,Percent of waste,2013
682,Nepal,waste_collection_coverage_total_percent_of_households,Percent of waste,2013
683,Nepal,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2013
684,Malta,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
685,Malta,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
686,Malta,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
687,Malta,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
688,Spain,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
689,Spain,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
690,Spain,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
691,Spain,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
692,Azerbaijan,waste_collection_coverage_total_percent_of_waste,Percent of population,2015
693,Azerbaijan,waste_collection_coverage_total_percent_of_population,Percent of population,2015
694,Azerbaijan,waste_collection_coverage_total_percent_of_households,Percent of population,2015
695,Azerbaijan,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2015
696,"Macedonia, FYR",waste_collection_coverage_total_percent_of_waste,Percent of waste,2016
697,"Macedonia, FYR",waste_collection_coverage_total_percent_of_population,Percent of waste,2016
698,"Macedonia, FYR",waste_collection_coverage_total_percent_of_households,Percent of waste,2016
699,"Macedonia, FYR",waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2016
700,St. Vincent and the Grenadines,waste_collection_coverage_total_percent_of_waste,Percent of households,2012
701,St. Vincent and the Grenadines,waste_collection_coverage_total_percent_of_population,Percent of households,2012
702,St. Vincent and the Grenadines,waste_collection_coverage_total_percent_of_households,Percent of households,2012
703,St. Vincent and the Grenadines,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2012
704,France,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
705,France,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
706,France,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
707,France,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
708,Lesotho,waste_collection_coverage_total_percent_of_waste,Percent of households,2011
709,Lesotho,waste_collection_coverage_total_percent_of_population,Percent of households,2011
710,Lesotho,waste_collection_coverage_total_percent_of_households,Percent of households,2011
711,Lesotho,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2011
712,Mauritius,waste_collection_coverage_total_percent_of_waste,Percent of waste,2012
713,Mauritius,waste_collection_coverage_total_percent_of_population,Percent of waste,2012
714,Mauritius,waste_collection_coverage_total_percent_of_households,Percent of waste,2012
715,Mauritius,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2012
716,Luxembourg,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
717,Luxembourg,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
718,Luxembourg,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
719,Luxembourg,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
720,Mozambique,waste_collection_coverage_total_percent_of_waste,Percent of waste,2014
721,Mozambique,waste_collection_coverage_total_percent_of_population,Percent of waste,2014
722,Mozambique,waste_collection_coverage_total_percent_of_households,Percent of waste,2014
723,Mozambique,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2014
724,Greece,waste_collection_coverage_total_percent_of_waste,Percent of Geographic Area,2011
725,Greece,waste_collection_coverage_total_percent_of_population,Percent of Geographic Area,2011
726,Greece,waste_collection_coverage_total_percent_of_households,Percent of Geographic Area,2011
727,Greece,waste_collection_coverage_total_percent_of_geographic_area,Percent of Geographic Area,2011
728,New Zealand,waste_collection_coverage_total_percent_of_waste,Percent of population,2006
729,New Zealand,waste_collection_coverage_total_percent_of_population,Percent of population,2006
730,New Zealand,waste_collection_coverage_total_percent_of_households,Percent of population,2006
731,New Zealand,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2006
732,Ecuador,waste_collection_coverage_total_percent_of_waste,Percent of households,2016
733,Ecuador,waste_collection_coverage_total_percent_of_population,Percent of households,2016
734,Ecuador,waste_collection_coverage_total_percent_of_households,Percent of households,2016
735,Ecuador,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2016
736,Burkina Faso,waste_collection_coverage_total_percent_of_waste,Percent of population,2009
737,Burkina Faso,waste_collection_coverage_total_percent_of_population,Percent of population,2009
738,Burkina Faso,waste_collection_coverage_total_percent_of_households,Percent of population,2009
739,Burkina Faso,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2009
740,Bolivia,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
741,Bolivia,waste_collection_coverage_total_percent_of_population,Percent of population,2012
742,Bolivia,waste_collection_coverage_total_percent_of_households,Percent of population,2012
743,Bolivia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
744,"Korea, Rep.",waste_collection_coverage_total_percent_of_waste,Percent of population,2015
745,"Korea, Rep.",waste_collection_coverage_total_percent_of_population,Percent of population,2015
746,"Korea, Rep.",waste_collection_coverage_total_percent_of_households,Percent of population,2015
747,"Korea, Rep.",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2015
748,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
749,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
750,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
751,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
752,Samoa,waste_collection_coverage_total_percent_of_waste,Percent of population,2016
753,Samoa,waste_collection_coverage_total_percent_of_population,Percent of population,2016
754,Samoa,waste_collection_coverage_total_percent_of_households,Percent of population,2016
755,Samoa,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2016
756,Syrian Arab Republic,waste_collection_coverage_total_percent_of_waste,Percent of population,2004
757,Syrian Arab Republic,waste_collection_coverage_total_percent_of_population,Percent of population,2004
758,Syrian Arab Republic,waste_collection_coverage_total_percent_of_households,Percent of population,2004
759,Syrian Arab Republic,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2004
760,"Yemen, Rep.",waste_collection_coverage_total_percent_of_waste,Percent of population,2012
761,"Yemen, Rep.",waste_collection_coverage_total_percent_of_population,Percent of population,2012
762,"Yemen, Rep.",waste_collection_coverage_total_percent_of_households,Percent of population,2012
763,"Yemen, Rep.",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
764,Guyana,waste_collection_coverage_total_percent_of_waste,Percent of population,2014
765,Guyana,waste_collection_coverage_total_percent_of_population,Percent of population,2014
766,Guyana,waste_collection_coverage_total_percent_of_households,Percent of population,2014
767,Guyana,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2014
768,Latvia,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
769,Latvia,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
770,Latvia,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
771,Latvia,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
772,Tuvalu,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
773,Tuvalu,waste_collection_coverage_total_percent_of_population,Percent of population,2012
774,Tuvalu,waste_collection_coverage_total_percent_of_households,Percent of population,2012
775,Tuvalu,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
776,Uganda,waste_collection_coverage_total_percent_of_waste,Percent of waste,2011
777,Uganda,waste_collection_coverage_total_percent_of_population,Percent of waste,2011
778,Uganda,waste_collection_coverage_total_percent_of_households,Percent of waste,2011
779,Uganda,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2011
780,Saudi Arabia,waste_collection_coverage_total_percent_of_waste,Percent of population,2017
781,Saudi Arabia,waste_collection_coverage_total_percent_of_population,Percent of population,2017
782,Saudi Arabia,waste_collection_coverage_total_percent_of_households,Percent of population,2017
783,Saudi Arabia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2017
784,Belgium,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
785,Belgium,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
786,Belgium,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
787,Belgium,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
788,Albania,waste_collection_coverage_total_percent_of_waste,Percent of population,2015
789,Albania,waste_collection_coverage_total_percent_of_population,Percent of population,2015
790,Albania,waste_collection_coverage_total_percent_of_households,Percent of population,2015
791,Albania,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2015
792,Ireland,waste_collection_coverage_total_percent_of_waste,Percent of waste,2012
793,Ireland,waste_collection_coverage_total_percent_of_population,Percent of waste,2012
794,Ireland,waste_collection_coverage_total_percent_of_households,Percent of waste,2012
795,Ireland,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2012
796,"Hong Kong SAR, China",waste_collection_coverage_total_percent_of_waste,Percent of population,2013
797,"Hong Kong SAR, China",waste_collection_coverage_total_percent_of_population,Percent of population,2013
798,"Hong Kong SAR, China",waste_collection_coverage_total_percent_of_households,Percent of population,2013
799,"Hong Kong SAR, China",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2013
800,Maldives,waste_collection_coverage_total_percent_of_waste,Percent of population,2005
801,Maldives,waste_collection_coverage_total_percent_of_population,Percent of population,2005
802,Maldives,waste_collection_coverage_total_percent_of_households,Percent of population,2005
803,Maldives,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2005
804,Monaco,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
805,Monaco,waste_collection_coverage_total_percent_of_population,Percent of population,2012
806,Monaco,waste_collection_coverage_total_percent_of_households,Percent of population,2012
807,Monaco,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
808,Kenya,waste_collection_coverage_total_percent_of_waste,Percent of population,1999
809,Kenya,waste_collection_coverage_total_percent_of_population,Percent of population,1999
810,Kenya,waste_collection_coverage_total_percent_of_households,Percent of population,1999
811,Kenya,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,1999
812,Serbia,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
813,Serbia,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
814,Serbia,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
815,Serbia,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
816,Italy,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
817,Italy,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
818,Italy,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
819,Italy,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
820,Singapore,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
821,Singapore,waste_collection_coverage_total_percent_of_population,Percent of population,2012
822,Singapore,waste_collection_coverage_total_percent_of_households,Percent of population,2012
823,Singapore,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
824,Canada,waste_collection_coverage_total_percent_of_waste,Percent of population,1996
825,Canada,waste_collection_coverage_total_percent_of_population,Percent of population,1996
826,Canada,waste_collection_coverage_total_percent_of_households,Percent of population,1996
827,Canada,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,1996
828,Barbados,waste_collection_coverage_total_percent_of_waste,Percent of population,2015
829,Barbados,waste_collection_coverage_total_percent_of_population,Percent of population,2015
830,Barbados,waste_collection_coverage_total_percent_of_households,Percent of population,2015
831,Barbados,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2015
832,Indonesia,waste_collection_coverage_total_percent_of_waste,Percent of population,2010
833,Indonesia,waste_collection_coverage_total_percent_of_population,Percent of population,2010
834,Indonesia,waste_collection_coverage_total_percent_of_households,Percent of population,2010
835,Indonesia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2010
836,French Polynesia,waste_collection_coverage_total_percent_of_waste,Percent of population,2016
837,French Polynesia,waste_collection_coverage_total_percent_of_population,Percent of population,2016
838,French Polynesia,waste_collection_coverage_total_percent_of_households,Percent of population,2016
839,French Polynesia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2016
840,Guatemala,waste_collection_coverage_total_percent_of_waste,Percent of population,2010
841,Guatemala,waste_collection_coverage_total_percent_of_population,Percent of population,2010
842,Guatemala,waste_collection_coverage_total_percent_of_households,Percent of population,2010
843,Guatemala,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2010
844,Grenada,waste_collection_coverage_total_percent_of_waste,Percent of households,2011
845,Grenada,waste_collection_coverage_total_percent_of_population,Percent of households,2011
846,Grenada,waste_collection_coverage_total_percent_of_households,Percent of households,2011
847,Grenada,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2011
848,Finland,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
849,Finland,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
850,Finland,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
851,Finland,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
852,Trinidad and Tobago,waste_collection_coverage_total_percent_of_waste,Percent of population,2011
853,Trinidad and Tobago,waste_collection_coverage_total_percent_of_population,Percent of population,2011
854,Trinidad and Tobago,waste_collection_coverage_total_percent_of_households,Percent of population,2011
855,Trinidad and Tobago,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2011
856,Ukraine,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
857,Ukraine,waste_collection_coverage_total_percent_of_population,Percent of population,2012
858,Ukraine,waste_collection_coverage_total_percent_of_households,Percent of population,2012
859,Ukraine,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
860,Tonga,waste_collection_coverage_total_percent_of_waste,Percent of population,2013
861,Tonga,waste_collection_coverage_total_percent_of_population,Percent of population,2013
862,Tonga,waste_collection_coverage_total_percent_of_households,Percent of population,2013
863,Tonga,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2013
864,Tajikistan,waste_collection_coverage_total_percent_of_waste,Percent of population,2016
865,Tajikistan,waste_collection_coverage_total_percent_of_population,Percent of population,2016
866,Tajikistan,waste_collection_coverage_total_percent_of_households,Percent of population,2016
867,Tajikistan,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2016
868,Brazil,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
869,Brazil,waste_collection_coverage_total_percent_of_population,Percent of population,2012
870,Brazil,waste_collection_coverage_total_percent_of_households,Percent of population,2012
871,Brazil,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
872,São Tomé and Príncipe,waste_collection_coverage_total_percent_of_waste,Percent of population,2010
873,São Tomé and Príncipe,waste_collection_coverage_total_percent_of_population,Percent of population,2010
874,São Tomé and Príncipe,waste_collection_coverage_total_percent_of_households,Percent of population,2010
875,São Tomé and Príncipe,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2010
876,Czech Republic,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
877,Czech Republic,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
878,Czech Republic,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
879,Czech Republic,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
880,Netherlands,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
881,Netherlands,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
882,Netherlands,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
883,Netherlands,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
884,Dominican Republic,waste_collection_coverage_total_percent_of_waste,Percent of households,2010
885,Dominican Republic,waste_collection_coverage_total_percent_of_population,Percent of households,2010
886,Dominican Republic,waste_collection_coverage_total_percent_of_households,Percent of households,2010
887,Dominican Republic,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2010
888,Sweden,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
889,Sweden,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
890,Sweden,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
891,Sweden,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
892,Brazil,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
893,Brazil,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
894,Brazil,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
895,Brazil,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
896,Jamaica,waste_collection_coverage_total_percent_of_waste,Percent of households,2011
897,Jamaica,waste_collection_coverage_total_percent_of_population,Percent of households,2011
898,Jamaica,waste_collection_coverage_total_percent_of_households,Percent of households,2011
899,Jamaica,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2011
900,Serbia,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
901,Serbia,waste_collection_coverage_total_percent_of_population,Percent of population,2012
902,Serbia,waste_collection_coverage_total_percent_of_households,Percent of population,2012
903,Serbia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
904,"Iran, Islamic Rep.",waste_collection_coverage_total_percent_of_waste,Percent of population,2017
905,"Iran, Islamic Rep.",waste_collection_coverage_total_percent_of_population,Percent of population,2017
906,"Iran, Islamic Rep.",waste_collection_coverage_total_percent_of_households,Percent of population,2017
907,"Iran, Islamic Rep.",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2017
908,"Macao SAR, China",waste_collection_coverage_total_percent_of_waste,Percent of population,2009
909,"Macao SAR, China",waste_collection_coverage_total_percent_of_population,Percent of population,2009
910,"Macao SAR, China",waste_collection_coverage_total_percent_of_households,Percent of population,2009
911,"Macao SAR, China",waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2009
912,Chile,waste_collection_coverage_total_percent_of_waste,Percent of waste,2009
913,Chile,waste_collection_coverage_total_percent_of_population,Percent of waste,2009
914,Chile,waste_collection_coverage_total_percent_of_households,Percent of waste,2009
915,Chile,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2009
916,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
917,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_population,Percent of population,2012
918,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_households,Percent of population,2012
919,Bosnia and Herzegovina,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
920,Andorra,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
921,Andorra,waste_collection_coverage_total_percent_of_population,Percent of population,2012
922,Andorra,waste_collection_coverage_total_percent_of_households,Percent of population,2012
923,Andorra,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
924,Poland,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
925,Poland,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
926,Poland,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
927,Poland,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
928,Bulgaria,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
929,Bulgaria,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
930,Bulgaria,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
931,Bulgaria,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
932,Georgia,waste_collection_coverage_total_percent_of_waste,Percent of population,2007
933,Georgia,waste_collection_coverage_total_percent_of_population,Percent of population,2007
934,Georgia,waste_collection_coverage_total_percent_of_households,Percent of population,2007
935,Georgia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2007
936,Hungary,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
937,Hungary,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
938,Hungary,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
939,Hungary,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
940,Norway,waste_collection_coverage_total_percent_of_waste,Percent of population,2009
941,Norway,waste_collection_coverage_total_percent_of_population,Percent of population,2009
942,Norway,waste_collection_coverage_total_percent_of_households,Percent of population,2009
943,Norway,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2009
944,Bangladesh,waste_collection_coverage_total_percent_of_waste,Percent of waste,2012
945,Bangladesh,waste_collection_coverage_total_percent_of_population,Percent of waste,2012
946,Bangladesh,waste_collection_coverage_total_percent_of_households,Percent of waste,2012
947,Bangladesh,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2012
948,West Bank and Gaza,waste_collection_coverage_total_percent_of_waste,Percent of waste,2013
949,West Bank and Gaza,waste_collection_coverage_total_percent_of_population,Percent of waste,2013
950,West Bank and Gaza,waste_collection_coverage_total_percent_of_households,Percent of waste,2013
951,West Bank and Gaza,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2013
952,Marshall Islands,waste_collection_coverage_total_percent_of_waste,Percent of population,2014
953,Marshall Islands,waste_collection_coverage_total_percent_of_population,Percent of population,2014
954,Marshall Islands,waste_collection_coverage_total_percent_of_households,Percent of population,2014
955,Marshall Islands,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2014
956,Kosovo,waste_collection_coverage_total_percent_of_waste,Percent of population,2008
957,Kosovo,waste_collection_coverage_total_percent_of_population,Percent of population,2008
958,Kosovo,waste_collection_coverage_total_percent_of_households,Percent of population,2008
959,Kosovo,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2008
960,Austria,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
961,Austria,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
962,Austria,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
963,Austria,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
964,Gabon,waste_collection_coverage_total_percent_of_waste,Percent of population,2000
965,Gabon,waste_collection_coverage_total_percent_of_population,Percent of population,2000
966,Gabon,waste_collection_coverage_total_percent_of_households,Percent of population,2000
967,Gabon,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2000
968,Turkey,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
969,Turkey,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
970,Turkey,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
971,Turkey,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
972,Zimbabwe,waste_collection_coverage_total_percent_of_waste,Percent of households,2013
973,Zimbabwe,waste_collection_coverage_total_percent_of_population,Percent of households,2013
974,Zimbabwe,waste_collection_coverage_total_percent_of_households,Percent of households,2013
975,Zimbabwe,waste_collection_coverage_total_percent_of_geographic_area,Percent of households,2013
976,St. Lucia,waste_collection_coverage_total_percent_of_waste,Percent of population,2012
977,St. Lucia,waste_collection_coverage_total_percent_of_population,Percent of population,2012
978,St. Lucia,waste_collection_coverage_total_percent_of_households,Percent of population,2012
979,St. Lucia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2012
980,Kenya,waste_collection_coverage_total_percent_of_waste,Percent of waste,2009
981,Kenya,waste_collection_coverage_total_percent_of_population,Percent of waste,2009
982,Kenya,waste_collection_coverage_total_percent_of_households,Percent of waste,2009
983,Kenya,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2009
984,American Samoa,waste_collection_coverage_total_percent_of_waste,Percent of population,2014
985,American Samoa,waste_collection_coverage_total_percent_of_population,Percent of population,2014
986,American Samoa,waste_collection_coverage_total_percent_of_households,Percent of population,2014
987,American Samoa,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2014
988,New Caledonia,waste_collection_coverage_total_percent_of_waste,Percent of population,2014
989,New Caledonia,waste_collection_coverage_total_percent_of_population,Percent of population,2014
990,New Caledonia,waste_collection_coverage_total_percent_of_households,Percent of population,2014
991,New Caledonia,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2014
992,Kazakhstan,waste_collection_coverage_total_percent_of_waste,Percent of population,2013
993,Kazakhstan,waste_collection_coverage_total_percent_of_population,Percent of population,2013
994,Kazakhstan,waste_collection_coverage_total_percent_of_households,Percent of population,2013
995,Kazakhstan,waste_collection_coverage_total_percent_of_geographic_area,Percent of population,2013
996,Germany,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015
997,Germany,waste_collection_coverage_total_percent_of_population,Percent of waste,2015
998,Germany,waste_collection_coverage_total_percent_of_households,Percent of waste,2015
999,Germany,waste_collection_coverage_total_percent_of_geographic_area,Percent of waste,2015
